time,output,temp
279,1024,40.976795
280,1024,41.057354
281,1024,41.137905
282,1024,41.21845
283,1024,41.298985
284,1024,41.379513
285,1024,41.460033
286,1024,41.540543
287,1024,41.621044
288,1024,41.701538
289,1024,41.782024
290,1024,41.862503
291,1024,41.942974
292,1024,42.023438
293,1024,42.10389
294,1024,42.184334
295,1024,42.26477
296,1024,42.3452
297,1024,42.42562
298,1024,42.506035
299,1024,42.58644
300,1024,42.666836
301,1024,42.747223
302,1024,42.827602
303,1024,42.907974
304,1024,42.98834
305,1024,43.068695
306,1024,43.149044
307,1024,43.22938
308,1024,43.30971
309,1024,43.390034
310,1024,43.47035
311,1024,43.550655
312,1024,43.630955
313,1024,43.711246
314,1024,43.791527
315,1024,43.8718
316,1024,43.952065
317,1024,44.032322
318,1024,44.11257
319,1024,44.192814
320,1024,44.27305
321,1024,44.353275
322,1024,44.43349
323,1024,44.5137
324,1024,44.5939
325,1024,44.67409
326,1024,44.754276
327,1024,44.834454
328,1024,44.914623
329,1024,44.99478
330,1024,45.074932
331,1024,45.155075
332,1024,45.23521
333,1024,45.31534
334,1024,45.39546
335,1024,45.47557
336,1024,45.555676
337,1024,45.63577
338,1024,45.715855
339,1024,45.795933
340,1024,45.876003
341,1024,45.956066
342,1024,46.03612
343,1024,46.11617
344,1024,46.196205
345,1024,46.276234
346,1024,46.356255
347,1024,46.436268
348,1024,46.516273
349,1024,46.59627
350,1024,46.67626
351,1024,46.756245
352,1024,46.836216
353,1024,46.91618
354,1024,46.996136
355,1024,47.076084
356,1024,47.156025
357,1024,47.23596
358,1024,47.315884
359,1024,47.3958
360,1024,47.475708
361,1024,47.555607
362,1024,47.635498
363,1024,47.71538
364,1024,47.795258
365,1024,47.875126
366,1024,47.954987
367,1024,48.03484
368,1024,48.11468
369,1024,48.194515
370,1024,48.27434
371,1024,48.35416
372,1024,48.43397
373,1024,48.513775
374,1024,48.59357
375,1024,48.67336
376,1024,48.753136
377,1024,48.832905
378,1024,48.912666
379,1024,48.99242
380,1024,49.072166
381,1024,49.151905
382,1024,49.231636
383,1024,49.31136
384,1024,49.39107
385,1024,49.470776
386,1024,49.550472
387,1024,49.63016
388,1024,49.709843
389,1024,49.789516
390,1024,49.869183
391,1024,49.94884
392,1024,50.02849
393,1024,50.108128
394,1024,50.18776
395,1024,50.267384
396,1024,50.347
397,1024,50.42661
398,1020,50.50621
399,1016,50.585804
400,1012,50.665386
401,1008,50.74496
402,1003,50.824528
403,999,50.904087
404,995,50.98364
405,991,51.063183
406,987,51.14272
407,983,51.222248
408,979,51.30177
409,975,51.38128
